index,date,price,time,trade
0,08-20-2021,46947.4,00-19-47,1
418,08-21-2021,48495.86,11-09-47,0
482,08-21-2021,49547.88,16-29-47,1
1311,08-24-2021,48553.78,13-34-47,0
2599,08-29-2021,49477.38,00-54-47,1
4037,09-03-2021,48617.85,00-44-47,0
4179,09-03-2021,50563.47,12-34-47,1
5283,09-07-2021,51279.51,08-34-47,0
10477,09-26-2021,42480.66,09-24-47,1
13708,10-07-2021,53651.54,14-39-47,0
13924,10-08-2021,55838.59,08-39-47,1
15214,10-12-2021,54683.05,20-09-47,0
15435,10-13-2021,55672.94,14-34-47,1
16276,10-16-2021,60950.06,12-39-47,0
17151,10-19-2021,63108.02,13-34-47,1
17162,10-19-2021,61685.37,14-29-47,0
17441,10-20-2021,65555.97,13-44-47,1
17703,10-21-2021,64328.79,11-34-47,0
19818,10-28-2021,61048.99,19-49-47,1
23575,11-10-2021,65717.0,20-54-47,0
23582,11-10-2021,65002.19,21-29-47,1
25053,11-16-2021,63064.0,00-04-47,0
26425,11-20-2021,59225.08,18-24-47,1
30192,12-03-2021,52291.08,20-19-47,0
31074,12-06-2021,50102.38,21-49-47,1
37194,12-28-2021,48694.05,04-19-47,0
48270,2022-02-04,39329.35,15-19-47,1
49977,2022-02-10,43915.64,13-34-47,0
49995,2022-02-10,45246.38,15-04-48,1
51991,2022-02-17,42619.06,13-24-47,0
54087,2022-02-24,38180.2,20-04-47,1
55273,2022-02-28,43299.56,22-54-47,0
